player_ESPN,bet_type,odds,line,over_under,home,away,bet_id,closed_date
JamalMurray,ARP,1.94,28.5,Under,den,dal,3198083027,2022-12-07T03:00:00Z
BruceBrown,REB,1.68,4.5,Over,den,dal,3198083028,2022-12-07T03:00:00Z
BruceBrown,REB,2.16,4.5,Under,den,dal,3198083031,2022-12-07T03:00:00Z
BruceBrown,PTS,1.93,12.5,Over,den,dal,3198083029,2022-12-07T03:00:00Z
BruceBrown,PTS,1.85,12.5,Under,den,dal,3198083032,2022-12-07T03:00:00Z
BruceBrown,AST,2.15,3.5,Over,den,dal,3198083033,2022-12-07T03:00:00Z
BruceBrown,AST,1.68,3.5,Under,den,dal,3198083035,2022-12-07T03:00:00Z
BruceBrown,ARP,1.79,20.5,Over,den,dal,3198126783,2022-12-07T03:00:00Z
BruceBrown,ARP,2.0,20.5,Under,den,dal,3198126784,2022-12-07T03:00:00Z
KeldonJohnson,ARP,1.98,34.5,Over,sa,hou,3198665568,2022-12-09T01:30:00Z
KeldonJohnson,ARP,1.81,34.5,Under,sa,hou,3198665570,2022-12-09T01:30:00Z
TreJones,AST,1.88,7.5,Over,sa,hou,3198665569,2022-12-09T01:30:00Z
TreJones,AST,1.9,7.5,Under,sa,hou,3198665572,2022-12-09T01:30:00Z
TreJones,REB,1.93,3.5,Over,sa,hou,3198665571,2022-12-09T01:30:00Z
TreJones,REB,1.85,3.5,Under,sa,hou,3198665574,2022-12-09T01:30:00Z
KeldonJohnson,PTS,1.88,24.5,Over,sa,hou,3198665573,2022-12-09T01:30:00Z
KeldonJohnson,PTS,1.9,24.5,Under,sa,hou,3198665576,2022-12-09T01:30:00Z
KeldonJohnson,3PM,2.2,3.5,Over,sa,hou,3198665575,2022-12-09T01:30:00Z
KeldonJohnson,3PM,1.65,3.5,Under,sa,hou,3198665578,2022-12-09T01:30:00Z
KeldonJohnson,AST,2.14,3.5,Over,sa,hou,3198665577,2022-12-09T01:30:00Z
KeldonJohnson,AST,1.7,3.5,Under,sa,hou,3198665580,2022-12-09T01:30:00Z
TreJones,ARP,1.86,25.5,Over,sa,hou,3198665588,2022-12-09T01:30:00Z
TreJones,ARP,1.93,25.5,Under,sa,hou,3198665589,2022-12-09T01:30:00Z
TreJones,PTS,1.96,14.5,Over,sa,hou,3198727752,2022-12-09T01:30:00Z
TreJones,PTS,1.83,14.5,Under,sa,hou,3198727757,2022-12-09T01:30:00Z
KeldonJohnson,REB,1.67,5.5,Over,sa,hou,3198727759,2022-12-09T01:30:00Z
KeldonJohnson,REB,2.18,5.5,Under,sa,hou,3198727765,2022-12-09T01:30:00Z
ZachCollins,PTS,1.89,11.5,Over,sa,hou,3198727912,2022-12-09T01:30:00Z
ZachCollins,PTS,1.89,11.5,Under,sa,hou,3198727913,2022-12-09T01:30:00Z
ZachCollins,AST,2.25,3.5,Over,sa,hou,3198727914,2022-12-09T01:30:00Z
ZachCollins,AST,1.63,3.5,Under,sa,hou,3198727917,2022-12-09T01:30:00Z
ZachCollins,ARP,1.95,22.5,Over,sa,hou,3198727915,2022-12-09T01:30:00Z
ZachCollins,ARP,1.83,22.5,Under,sa,hou,3198727918,2022-12-09T01:30:00Z
ZachCollins,REB,2.02,7.5,Over,sa,hou,3198727916,2022-12-09T01:30:00Z
ZachCollins,REB,1.77,7.5,Under,sa,hou,3198727919,2022-12-09T01:30:00Z
DamianLillard,ARP,1.83,35.5,Over,por,den,3198663691,2022-12-09T03:00:00Z
DamianLillard,ARP,1.95,35.5,Under,por,den,3198663693,2022-12-09T03:00:00Z
JamalMurray,REB,1.64,3.5,Over,por,den,3198663703,2022-12-09T03:00:00Z
JamalMurray,REB,2.23,3.5,Under,por,den,3198663712,2022-12-09T03:00:00Z
JoshHart,REB,2.1,7.5,Over,por,den,3198663707,2022-12-09T03:00:00Z
JoshHart,REB,1.72,7.5,Under,por,den,3198663716,2022-12-09T03:00:00Z
DamianLillard,REB,1.73,3.5,Over,por,den,3198663713,2022-12-09T03:00:00Z
DamianLillard,REB,2.08,3.5,Under,por,den,3198663721,2022-12-09T03:00:00Z
AnferneeSimons,REB,1.65,2.5,Over,por,den,3198663717,2022-12-09T03:00:00Z
AnferneeSimons,REB,2.23,2.5,Under,por,den,3198663724,2022-12-09T03:00:00Z
DamianLillard,AST,1.73,6.5,Over,por,den,3198663720,2022-12-09T03:00:00Z
DamianLillard,AST,2.1,6.5,Under,por,den,3198663727,2022-12-09T03:00:00Z
JamalMurray,AST,1.66,4.5,Over,por,den,3198663723,2022-12-09T03:00:00Z
JamalMurray,AST,2.18,4.5,Under,por,den,3198663731,2022-12-09T03:00:00Z
