name,name_ESPN,odds,line,home,away,bet_type,id,changed_date
"Embiid, Joel",JoelEmbiid,1.95,28.5,wsh,phi,PTS,3038783255,2021-12-26T15:03:49Z
"Curry, Seth",SethCurry,1.89,15.5,wsh,phi,PTS,3038783257,2021-12-26T15:03:49Z
"Harris, Tobias",TobiasHarris,1.79,17.5,wsh,phi,PTS,3038783259,2021-12-26T15:03:49Z
"Holiday, Aaron",AaronHoliday,1.85,19.5,wsh,phi,ARP,3038784738,2021-12-26T15:20:44Z
"Gafford, Daniel",DanielGafford,1.93,18.5,wsh,phi,ARP,3038784740,2021-12-26T15:20:44Z
"Thybulle, Matisse",MatisseThybulle,1.89,11.5,wsh,phi,ARP,3038784742,2021-12-26T15:20:45Z
"Embiid, Joel",JoelEmbiid,1.89,44.5,wsh,phi,ARP,3038784744,2021-12-26T15:20:45Z
"Harris, Tobias",TobiasHarris,1.89,28.5,wsh,phi,ARP,3038784746,2021-12-26T15:20:45Z
"Garland, Darius",DariusGarland,1.89,23.5,cle,tor,PTS,3038832445,2021-12-26T17:24:18Z
"Wade, Dean",DeanWade,2.0,9.5,cle,tor,PTS,3038832447,2021-12-26T17:24:18Z
"Markkanen, Lauri",LauriMarkkanen,1.89,16.5,cle,tor,PTS,3038832449,2021-12-26T17:24:18Z
"Garland, Darius",DariusGarland,1.89,34.5,cle,tor,ARP,3038832672,2021-12-26T17:31:31Z
"Wade, Dean",DeanWade,1.89,16.5,cle,tor,ARP,3038832674,2021-12-26T17:31:31Z
"Markkanen, Lauri",LauriMarkkanen,1.85,24.5,cle,tor,ARP,3038832676,2021-12-26T17:31:31Z
"Poeltl, J.",J.Poeltl,2.0,14.5,sa,det,PTS,3038838037,2021-12-26T18:27:27Z
"Jackson, Frank",FrankJackson,1.86,18.5,sa,det,PTS,3038838039,2021-12-26T19:03:00Z
"Diallo, Hamidou",HamidouDiallo,1.94,16.5,sa,det,PTS,3038838041,2021-12-26T18:27:27Z
"Bey, Saddiq",SaddiqBey,1.94,19.5,sa,det,PTS,3038838043,2021-12-26T18:27:27Z
"White, Derrick",DerrickWhite,2.12,19.5,sa,det,PTS,3038838045,2021-12-26T19:44:29Z
"Johnson, Keldon",KeldonJohnson,2.0,17.5,sa,det,PTS,3038838047,2021-12-26T18:27:27Z
"McDermott, Doug",DougMcDermott,1.92,13.5,sa,det,PTS,3038838049,2021-12-26T18:27:27Z
"Poeltl, J.",J.Poeltl,1.87,29.5,sa,det,ARP,3038838328,2021-12-26T18:59:48Z
"Jackson, Frank",FrankJackson,1.84,24.5,sa,det,ARP,3038838330,2021-12-26T18:40:13Z
"Diallo, Hamidou",HamidouDiallo,1.94,27.5,sa,det,ARP,3038838332,2021-12-26T18:40:13Z
"Bey, Saddiq",SaddiqBey,1.94,31.5,sa,det,ARP,3038838334,2021-12-26T18:40:13Z
"White, Derrick",DerrickWhite,1.98,31.5,sa,det,ARP,3038838336,2021-12-26T18:59:36Z
"Johnson, Keldon",KeldonJohnson,1.98,27.5,sa,det,ARP,3038838338,2021-12-26T18:59:54Z
"McDermott, Doug",DougMcDermott,1.96,18.5,sa,det,ARP,3038838340,2021-12-26T18:40:13Z
"Favors, Derrick",DerrickFavors,2.0,7.5,okc,no,PTS,3038841443,2021-12-26T18:03:47Z
"Graham, Devonte'",Devonte'Graham,2.0,15.5,okc,no,PTS,3038841445,2021-12-26T18:03:47Z
"Dort, Luguentz",LuguentzDort,1.87,17.5,okc,no,PTS,3038841447,2021-12-26T18:03:47Z
"Gilgeous-Alexander, Shai",ShaiGilgeous-Alexander,1.91,22.5,okc,no,PTS,3038841449,2021-12-26T18:03:47Z
"Jones, Herbert",HerbertJones,1.83,8.5,okc,no,PTS,3038841451,2021-12-26T18:03:48Z
"Hernangomez, Willy",WillyHernangomez,1.83,14.5,okc,no,PTS,3038841453,2021-12-26T18:03:48Z
"Hart, Josh",JoshHart,1.85,14.5,okc,no,PTS,3038841455,2021-12-26T18:03:48Z
"Ingram, Brandon",BrandonIngram,1.85,27.5,okc,no,PTS,3038841457,2021-12-26T18:03:48Z
"Robinson-Earl, Jeremiah",JeremiahRobinson-Earl,1.91,8.5,okc,no,PTS,3038841459,2021-12-26T18:03:48Z
"Giddey, Josh",JoshGiddey,1.95,13.5,okc,no,PTS,3038841461,2021-12-26T18:03:48Z
"Antetokounmpo, Giannis",GiannisAntetokounmpo,1.86,29.5,mil,no,PTS,3040610946,2022-01-01T14:58:27Z
"Holiday, Jrue",JrueHoliday,1.95,18.5,mil,no,PTS,3040610948,2022-01-01T18:37:18Z
"Allen, Grayson",GraysonAllen,1.73,9.5,mil,no,PTS,3040610950,2022-01-01T18:44:14Z
"Portis, Bobby",BobbyPortis,2.0,16.5,mil,no,PTS,3040610952,2022-01-01T12:09:54Z
"Antetokounmpo, Giannis",GiannisAntetokounmpo,1.89,46.5,mil,no,ARP,3040610968,2022-01-01T12:11:35Z
"Holiday, Jrue",JrueHoliday,1.89,30.5,mil,no,ARP,3040610970,2022-01-01T12:11:35Z
"Allen, Grayson",GraysonAllen,1.85,13.5,mil,no,ARP,3040610972,2022-01-01T14:45:04Z
"Portis, Bobby",BobbyPortis,1.89,25.5,mil,no,ARP,3040610974,2022-01-01T12:11:35Z
"Gafford, Daniel",DanielGafford,2.1,13.5,wsh,chi,PTS,3040295262,2022-01-01T16:18:47Z
"Vucevic, Nikola",NikolaVucevic,1.89,18.5,wsh,chi,PTS,3040634656,2022-01-01T14:02:37Z
"Kuzma, Kyle",KyleKuzma,1.89,16.5,wsh,chi,PTS,3040634658,2022-01-01T14:02:37Z
"LaVine, Zach",ZachLaVine,1.89,24.5,wsh,chi,PTS,3040634660,2022-01-01T14:02:37Z
"Caldwell-Pope, Kentavious",KentaviousCaldwell-Pope,1.89,12.5,wsh,chi,PTS,3040634662,2022-01-01T14:02:37Z
"Beal, Bradley",BradleyBeal,1.93,27.5,wsh,chi,PTS,3040634664,2022-01-01T18:31:09Z
"DeRozan, DeMar",DeMarDeRozan,1.89,25.5,wsh,chi,PTS,3040634666,2022-01-01T14:02:38Z
"Vucevic, Nikola",NikolaVucevic,1.89,33.5,wsh,chi,ARP,3040634807,2022-01-01T14:05:22Z
"Kuzma, Kyle",KyleKuzma,1.89,27.5,wsh,chi,ARP,3040634809,2022-01-01T14:05:22Z
"LaVine, Zach",ZachLaVine,1.89,34.5,wsh,chi,ARP,3040634811,2022-01-01T14:05:22Z
"Caldwell-Pope, Kentavious",KentaviousCaldwell-Pope,1.89,18.5,wsh,chi,ARP,3040634813,2022-01-01T14:05:22Z
"Beal, Bradley",BradleyBeal,2.0,39.5,wsh,chi,ARP,3040634815,2022-01-01T14:05:23Z
"DeRozan, DeMar",DeMarDeRozan,1.89,36.5,wsh,chi,ARP,3040634817,2022-01-01T14:05:23Z
"Gafford, Daniel",DanielGafford,1.89,23.5,wsh,chi,ARP,3040662692,2022-01-01T16:21:48Z
"Poeltl, J.",J.Poeltl,1.79,13.5,det,sa,PTS,3040677373,2022-01-01T18:28:53Z
"Diallo, Hamidou",HamidouDiallo,1.89,21.5,det,sa,PTS,3040677375,2022-01-01T17:25:24Z
"Bey, Saddiq",SaddiqBey,2.0,22.5,det,sa,PTS,3040677377,2022-01-01T17:25:24Z
"Garza, Luka",LukaGarza,1.79,12.5,det,sa,PTS,3040677381,2022-01-01T17:25:25Z
"Diallo, Hamidou",HamidouDiallo,1.89,32.5,det,sa,ARP,3040677415,2022-01-01T17:29:04Z
"Bey, Saddiq",SaddiqBey,1.89,33.5,det,sa,ARP,3040677417,2022-01-01T17:29:04Z
"Garza, Luka",LukaGarza,1.89,22.5,det,sa,ARP,3040677421,2022-01-01T17:29:04Z
"White, Derrick",DerrickWhite,1.89,19.5,det,sa,PTS,3040677680,2022-01-01T18:29:45Z
"Johnson, Keldon",KeldonJohnson,1.89,17.5,det,sa,PTS,3040677682,2022-01-01T18:29:45Z
"Poeltl, J.",J.Poeltl,1.79,27.5,det,sa,ARP,3040677710,2022-01-01T18:33:37Z
"White, Derrick",DerrickWhite,1.89,31.5,det,sa,ARP,3040677712,2022-01-01T18:33:37Z
"Johnson, Keldon",KeldonJohnson,1.89,27.5,det,sa,ARP,3040677714,2022-01-01T18:33:37Z
"Durant, Kevin",KevinDurant,1.95,28.5,bkn,lac,PTS,3040588534,2022-01-01T18:08:33Z
"Harden, James",JamesHarden,1.89,24.5,bkn,lac,PTS,3040588536,2022-01-01T13:00:31Z
"Durant, Kevin",KevinDurant,1.89,40.5,bkn,lac,ARP,3040588546,2022-01-01T13:01:43Z
"Harden, James",JamesHarden,1.89,43.5,bkn,lac,ARP,3040588548,2022-01-01T13:01:43Z
"Mills, Patty",PattyMills,1.79,13.5,bkn,lac,PTS,3040659238,2022-01-01T16:40:36Z
"Mann, Terance",TeranceMann,1.81,12.5,bkn,lac,PTS,3040659240,2022-01-01T17:36:10Z
"Aldridge, LaMarcus",LaMarcusAldridge,1.79,12.5,bkn,lac,PTS,3040659242,2022-01-01T16:40:37Z
"Kennard, Luke",LukeKennard,1.89,14.5,bkn,lac,PTS,3040659244,2022-01-01T16:40:37Z
"Ibaka, Serge",SergeIbaka,1.79,9.5,bkn,lac,PTS,3040659246,2022-01-01T16:40:37Z
"Jackson, Reggie",ReggieJackson,1.89,18.5,bkn,lac,PTS,3040659248,2022-01-01T16:40:37Z
"Morris, Marcus",MarcusMorris,1.89,17.5,bkn,lac,PTS,3040659250,2022-01-01T16:40:37Z
"Mills, Patty",PattyMills,1.79,18.5,bkn,lac,ARP,3040659270,2022-01-01T16:43:13Z
"Mann, Terance",TeranceMann,1.89,21.5,bkn,lac,ARP,3040659272,2022-01-01T16:43:13Z
"Aldridge, LaMarcus",LaMarcusAldridge,1.89,19.5,bkn,lac,ARP,3040659274,2022-01-01T16:43:13Z
"Kennard, Luke",LukeKennard,1.89,21.5,bkn,lac,ARP,3040659276,2022-01-01T16:43:13Z
"Ibaka, Serge",SergeIbaka,1.89,18.5,bkn,lac,ARP,3040659278,2022-01-01T16:43:13Z
