,OPP,Result,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS,FGM,FGA,3PM,3PA,FTM,FTA,type,Date,season_id,player_id,player_name,team
15,POR,W131-118,34.0,73.3,0.0,87.5,8.0,3.0,1.0,1.0,1.0,5.0,29.0,11.0,15.0,0.0,0.0,7.0,8.0,home,2018-12-02,2018,2983,LaMarcusAldridge,bkn
0,HOU,L136-105,30.0,43.8,0.0,100.0,6.0,0.0,2.0,0.0,2.0,0.0,20.0,7.0,16.0,0.0,0.0,6.0,6.0,home,2018-11-30,2018,2983,LaMarcusAldridge,bkn
1,MIN,L128-89,25.0,45.5,0.0,0.0,9.0,2.0,0.0,0.0,1.0,2.0,10.0,5.0,11.0,0.0,0.0,0.0,0.0,away,2018-11-28,2018,2983,LaMarcusAldridge,bkn
2,CHI,W108-107,30.0,66.7,0.0,80.0,8.0,3.0,2.0,1.0,1.0,2.0,20.0,8.0,12.0,0.0,0.0,4.0,5.0,away,2018-11-26,2018,2983,LaMarcusAldridge,bkn
3,MIL,L135-129,31.0,50.0,0.0,75.0,3.0,3.0,0.0,1.0,0.0,3.0,15.0,6.0,12.0,0.0,0.0,3.0,4.0,away,2018-11-24,2018,2983,LaMarcusAldridge,bkn
4,IND,W111-100,37.0,56.0,0.0,83.3,14.0,3.0,2.0,0.0,2.0,3.0,33.0,14.0,25.0,0.0,1.0,5.0,6.0,away,2018-11-23,2018,2983,LaMarcusAldridge,bkn
5,MEM,L104-103,41.0,30.0,0.0,77.8,11.0,4.0,1.0,0.0,4.0,0.0,19.0,6.0,20.0,0.0,1.0,7.0,9.0,home,2018-11-21,2018,2983,LaMarcusAldridge,bkn
6,NO,L140-126,30.0,18.2,0.0,75.0,10.0,2.0,0.0,0.0,3.0,1.0,7.0,2.0,11.0,0.0,0.0,3.0,4.0,away,2018-11-19,2018,2983,LaMarcusAldridge,bkn
7,GS,W104-92,40.0,62.5,0.0,100.0,18.0,3.0,2.0,0.0,2.0,2.0,24.0,10.0,16.0,0.0,1.0,4.0,4.0,home,2018-11-18,2018,2983,LaMarcusAldridge,bkn
8,LAC,L116-111,38.0,20.0,0.0,100.0,16.0,1.0,2.0,2.0,2.0,3.0,10.0,3.0,15.0,0.0,0.0,4.0,4.0,away,2018-11-15,2018,2983,LaMarcusAldridge,bkn
9,PHX,L116-96,29.0,25.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,2.0,6.0,3.0,12.0,0.0,1.0,0.0,0.0,away,2018-11-14,2018,2983,LaMarcusAldridge,bkn
10,SAC,L104-99,34.0,50.0,0.0,100.0,18.0,0.0,3.0,0.0,1.0,4.0,14.0,6.0,12.0,0.0,0.0,2.0,2.0,away,2018-11-12,2018,2983,LaMarcusAldridge,bkn
11,HOU,W96-89,36.0,47.6,0.0,87.5,10.0,1.0,1.0,0.0,3.0,2.0,27.0,10.0,21.0,0.0,0.0,7.0,8.0,home,2018-11-10,2018,2983,LaMarcusAldridge,bkn
12,MIA,L95-88,36.0,14.3,0.0,100.0,16.0,0.0,2.0,0.0,3.0,1.0,6.0,2.0,14.0,0.0,0.0,2.0,2.0,away,2018-11-07,2018,2983,LaMarcusAldridge,bkn
13,ORL,L117-110,33.0,42.9,0.0,100.0,6.0,3.0,0.0,0.0,1.0,4.0,14.0,6.0,14.0,0.0,1.0,2.0,2.0,home,2018-11-04,2018,2983,LaMarcusAldridge,bkn
14,NO,W109-95,40.0,52.4,0.0,0.0,12.0,6.0,0.0,0.0,2.0,1.0,22.0,11.0,21.0,0.0,0.0,0.0,0.0,home,2018-11-03,2018,2983,LaMarcusAldridge,bkn
0,PHX,W120-90,24.0,76.9,0.0,100.0,3.0,1.0,1.0,0.0,3.0,3.0,24.0,10.0,13.0,0.0,0.0,4.0,4.0,away,2018-10-31,2018,2983,LaMarcusAldridge,bkn
1,DAL,W113-108 OT,40.0,35.3,0.0,100.0,6.0,4.0,0.0,1.0,2.0,1.0,20.0,6.0,17.0,0.0,0.0,8.0,8.0,home,2018-10-29,2018,2983,LaMarcusAldridge,bkn
2,LAL,W110-106,33.0,43.8,0.0,50.0,5.0,3.0,2.0,0.0,3.0,4.0,15.0,7.0,16.0,0.0,0.0,1.0,2.0,home,2018-10-27,2018,2983,LaMarcusAldridge,bkn
3,IND,L116-96,32.0,27.8,0.0,100.0,13.0,2.0,1.0,0.0,1.0,1.0,15.0,5.0,18.0,0.0,2.0,5.0,5.0,home,2018-10-24,2018,2983,LaMarcusAldridge,bkn
4,LAL,W143-142 OT,40.0,59.1,0.0,61.1,10.0,5.0,1.0,1.0,3.0,1.0,37.0,13.0,22.0,0.0,0.0,11.0,18.0,away,2018-10-22,2018,2983,LaMarcusAldridge,bkn
5,POR,L121-108,37.0,46.2,0.0,0.0,8.0,5.0,1.0,1.0,0.0,0.0,12.0,6.0,13.0,0.0,1.0,0.0,1.0,away,2018-10-20,2018,2983,LaMarcusAldridge,bkn
6,MIN,W112-108,42.0,30.4,0.0,70.0,19.0,2.0,3.0,1.0,2.0,2.0,21.0,7.0,23.0,0.0,1.0,7.0,10.0,home,2018-10-17,2018,2983,LaMarcusAldridge,bkn
0,ORL,W100-81,30.0,33.3,0.0,75.0,15.0,4.0,2.0,1.0,2.0,2.0,13.0,5.0,15.0,0.0,2.0,3.0,4.0,away,2018-10-12,2018,2983,LaMarcusAldridge,bkn
1,HOU,L108-93,27.0,33.3,0.0,0.0,7.0,1.0,0.0,0.0,2.0,2.0,10.0,5.0,15.0,0.0,0.0,0.0,0.0,home,2018-10-07,2018,2983,LaMarcusAldridge,bkn
2,DET,W117-93,21.0,63.6,0.0,0.0,3.0,1.0,2.0,0.0,3.0,2.0,14.0,7.0,11.0,0.0,1.0,0.0,0.0,home,2018-10-05,2018,2983,LaMarcusAldridge,bkn
3,MIA,W104-100,17.0,42.9,0.0,100.0,4.0,0.0,0.0,0.0,2.0,1.0,10.0,3.0,7.0,0.0,0.0,4.0,4.0,home,2018-09-30,2018,2983,LaMarcusAldridge,bkn
0,GS,L99-91,40.0,44.4,0.0,100.0,12.0,4.0,0.0,1.0,3.0,2.0,30.0,8.0,18.0,0.0,2.0,14.0,14.0,away,2018-04-24,2017,2983,LaMarcusAldridge,bkn
2,GS,W103-90,38.0,36.8,100.0,100.0,10.0,0.0,1.0,1.0,2.0,1.0,22.0,7.0,19.0,3.0,3.0,5.0,5.0,home,2018-04-22,2017,2983,LaMarcusAldridge,bkn
4,GS,L110-97,37.0,60.0,0.0,85.7,10.0,4.0,0.0,0.0,0.0,2.0,18.0,6.0,10.0,0.0,0.0,6.0,7.0,home,2018-04-19,2017,2983,LaMarcusAldridge,bkn
