player_ESPN,bet_type,odds,line,over_under,home,away,bet_id,closed_date,diff,actual,is_hit
TyreseHaliburton,REB,1.87,4.5,Over,ind,den,3186534657,2022-11-10T00:40:00Z,3.5,1.0,False
TyreseHaliburton,REB,1.91,4.5,Under,ind,den,3186534665,2022-11-10T00:40:00Z,3.5,1.0,True
TyreseHaliburton,3PM,2.02,2.5,Over,ind,den,3186534664,2022-11-10T00:40:00Z,0.5,3.0,True
TyreseHaliburton,3PM,1.78,2.5,Under,ind,den,3186534674,2022-11-10T00:40:00Z,0.5,3.0,False
TyreseHaliburton,PTS,1.96,20.5,Over,ind,den,3186534666,2022-11-10T00:40:00Z,0.5,21.0,True
TyreseHaliburton,PTS,1.82,20.5,Under,ind,den,3186534675,2022-11-10T00:40:00Z,0.5,21.0,False
BuddyHield,AST,1.71,3.5,Over,ind,den,3186534670,2022-11-10T00:40:00Z,3.5,0.0,False
BuddyHield,AST,2.1,3.5,Under,ind,den,3186534678,2022-11-10T00:40:00Z,3.5,0.0,True
TyreseHaliburton,AST,1.86,9.5,Over,ind,den,3186534671,2022-11-10T00:40:00Z,2.5,12.0,True
TyreseHaliburton,AST,1.92,9.5,Under,ind,den,3186534679,2022-11-10T00:40:00Z,2.5,12.0,False
TyreseHaliburton,ARP,1.86,34.5,Over,ind,den,3186534766,2022-11-10T00:40:00Z,0.5,34.0,False
TyreseHaliburton,ARP,1.93,34.5,Under,ind,den,3186534768,2022-11-10T00:40:00Z,0.5,34.0,True
MylesTurner,REB,2.04,7.5,Over,ind,den,3186534777,2022-11-10T00:40:00Z,3.5,11.0,True
MylesTurner,REB,1.76,7.5,Under,ind,den,3186534778,2022-11-10T00:40:00Z,3.5,11.0,False
MylesTurner,3PM,1.95,1.5,Over,ind,den,3186534781,2022-11-10T00:40:00Z,1.5,0.0,False
MylesTurner,3PM,1.83,1.5,Under,ind,den,3186534782,2022-11-10T00:40:00Z,1.5,0.0,True
MylesTurner,ARP,1.8,24.5,Over,ind,den,3186535006,2022-11-10T00:40:00Z,2.5,27.0,True
MylesTurner,ARP,1.98,24.5,Under,ind,den,3186535008,2022-11-10T00:40:00Z,2.5,27.0,False
MylesTurner,PTS,1.94,16.5,Over,ind,den,3186535011,2022-11-10T00:40:00Z,2.5,14.0,False
MylesTurner,PTS,1.85,16.5,Under,ind,den,3186535014,2022-11-10T00:40:00Z,2.5,14.0,True
BuddyHield,REB,1.7,4.5,Over,ind,den,3186535215,2022-11-10T00:40:00Z,3.5,1.0,False
BuddyHield,REB,2.12,4.5,Under,ind,den,3186535216,2022-11-10T00:40:00Z,3.5,1.0,True
